ID,Name,Capacity,bus
LHEREO,P.EOLICO LOS HERCULES,97,AR.PAT
LMADHI,HIDROELECTRICA LAS MADERAS,31,AR.NOA
LMO1HI,EPEC GENERACION,52,AR.CEN
LOM1EO,P.EOLICO LOMA BLANCA 1,51,AR.PAT
LOM2EO,P.EOLICO LOMA BLANCA 2,51,AR.PAT
LOM3EO,P.EOLICO LOMA BLANCA 3,51,AR.PAT
LOM4EO,C.EOLICA LOMA BLANCA IV-ENARSA,50,AR.PAT
LOM6EO,P.EOLICO LOMA BLANCA 6,102,AR.PAT
LOMAFV,PQUE SOLAR E. Ren. Las Lomas,32,AR.NOA
LPLA,CT LA PLATA - SULLAIR,40,AR.BAS
LPLC,YPF LA PLATA COGENERACION,90,AR.BAS
LPUNFV,PQUE SOLAR LA PUNA SOLAR,100,AR.NOA
LREYHB,H. DIAMANTE SA,224,AR.CUY
LRI3FV,360 ENERGY FV,22,AR.NOA
LRIO,GENERACION RIOJANA SA,50,AR.NOA
LRIOFV,360 ENERGY FV,60,AR.NOA
LUJB,CT LUJAN II - ARAUCARIA ENERGY,127,AR.BAS
MAGD,CT MAGDALENA - APR ENERGY,25,AR.BAS
MAL1EO,C.EOLICA MALASPINA I - ENARSA,50,AR.PAT
MANAEO,P.EOLICO MANANTIALES BEHR,99,AR.PAT
MANQEO,P.EOLICO MANQUE MATER,57,AR.CEN
MAT3,CT MATHEU III - ARAUCARIA ENER,256,AR.BAS
MAT3EO,P.EOLICO 3 PICOS MATER,36,AR.BAS
MATE,CT MATHEU II - APR ENERGY,230,AR.BAS
MDP2,CT 9 de JULIO C Cost ATLANTICA,94,AR.BAS
MDPA,C.COSTA ATLANTICA,131,AR.BAS
MIRAEO,P.EOLICO MIRAMAR - RENOVAR 1.5,99,AR.BAS
MMAR,GEN.MEDITERRANEA (CONT.PLUS),390,AR.CEN
NEC1EO,P.EOLICO VIENTOS DE NECOCHEA,38,AR.BAS
NECO,C.COSTA ATLANTICA,204,AR.BAS
NEU1EO,P.EOLICO VIENTOS NEUQUINOS I,100,AR.COM
NIH1HI,HIDROELECTRICA LOS NIHUILES SA,72,AR.CUY
NIH2HI,HIDROELECTRICA LOS NIHUILES SA,110,AR.CUY
NIH3HI,HIDROELECTRICA LOS NIHUILES SA,42,AR.CUY
NIH4HI,HIDR NIHUIL IV (EMSE SE),30,AR.CUY
NONOFV,PQUE FOTOVOLTAICO NONOGASTA,35,AR.NOA
NPUE,CENTRAL PUERTO SA,1188,AR.GBA
OLAVEO,P.EOLICO VIENTOS OLAVARRIA,77,AR.BAS
OLIVEO,P.EOLICO LOS OLIVOS MATER,23,AR.CEN
PAGUHI,HIDR. PIEDRA DEL AGUILA S.A.,1440,AR.COM
PAMEEO,P.EOLICO PAMPA ENERGIA,50,AR.BAS
PATA,ENERGIA DEL SUR S.A.,125,AR.PAT
PBANHI,HIDR. CERROS COLORADOS S.A.,472,AR.COM
PE32EO,P.EOLICO PAMPA ENERGIA,27,AR.BAS
PEDR,SCC POWER SAN PEDRO S.A.,219,AR.BAS
PEP3EO,P.EOLICO PAMPA ENERGIA,50,AR.BAS
PEP6EO,P.EOLICO PAMPA ENERGIA,140,AR.BAS
PILA,CT PILAR - EPEC,466,AR.BAS
PINFFV,PQUE SOLAR PAMPA DEL INFIERNO,130,AR.NEA
PIQI,CENTRAL TERMICA PIQUIRENDA,30,AR.NOA
PMA1EO,P.EOLICO MADRYN 1 GENNEIA,71,AR.PAT
PMA2EO,P.EOLICO MADRYN 2 GENNEIA,151,AR.PAT
PMAD,C.T. PATAGONICAS SA,42,AR.PAT
PNEGHI,C.H.PUNTA NEGRA - EPSE,63,AR.CUY
PNUE,CENTRAL PUERTO SA,589,AR.GBA
POM1EO,P.EOLICO POMONA 1 - RENOVAR,101,AR.COM
PPLEHI,PICHI PICUN LEUFU,285,AR.COM
PPNO,GENERADORA ELEC.TUCUMAN SA,232,AR.NOA
QULLHI,QUEBRADA ULLUM - EPSE,45,AR.CUY
RAW1EO,P.EOLICO RAWSON I,53,AR.PAT
RAW2EO,P.EOLICO RAWSON II,31,AR.PAT
RAW3EO,P.EOLICO RAWSON III - GENNEIA,25,AR.PAT
REAL,CT REALICO - SECCO,24,AR.COM
RENO,CT RENOVA - ALBANESI ENERGIA,172,AR.LIT
REOLHI,EPEC GENERACION,33,AR.CEN
RGDEHB,EPEC GENERACION,750,AR.CEN
ROCA,CT ROCA SA,193,AR.COM
ROJO,CT GENERAL ROJO,258,AR.BAS
RUFI,CT RUFINO Sta Fe - ENARSA,32,AR.LIT
SAL2,CT SALTO 2 - SoENERGY,63,AR.BAS
SAUJFV,PQUE SOLAR SAUJIL,23,AR.NOA
SERT,CT RIO TERCERO II - SoENERGY,60,AR.CEN
SFRA,EPEC GENERACION,23,AR.CEN
SGDEHIAR,CTM SALTO GRANDE,945,AR.LIT
SJMTEO,P.EOLICO MATACO 3 PICOS,203,AR.BAS
SLUNEO,P.EOLICO SAN LUIS NORTE,113,AR.CEN
SMTU,CT SAN MIGUEL DE TUCUMAN,382,AR.NOA
SNIC,C.TERMICA SAN NICOLAS,675,AR.BAS
SOES,EPEC GENERACION,60,AR.CEN
SORR,C.TERMICA SORRENTO,217,AR.LIT
SROQHI,EPEC GENERACION,24,AR.CEN
SULLFV,GENNEIA S.A.EOLICOS,78,AR.CUY
SVIC,CT SAN VICENTE BsAs - ENARSA,28,AR.GBA
TAND,C.T. SALTA (TERMOANDES),643,AR.NOA
TER2EO,P.EOLICO LOS TEROS - MATER,52,AR.BAS
TER6,TERMINAL 6 COGENERACION PUERTO,372,AR.LIT
TEROEO,P.EOLICO LOS TEROS - MATER,123,AR.BAS
TIMB,TERMOELE. JOSE SAN MARTIN S.A,864,AR.LIT
TOC3FV,P.S.F.V. TOCOTA III,60,AR.CUY
TUCU,CT TUCUMAN,447,AR.NOA
ULL3FV,PQUE SOLAR ULLUM 3,32,AR.CUY
ULLUHI,HIDROTERMICA SAN JUAN,42,AR.CUY
ULN1FV,PQUE SOLAR ULLUM 1,25,AR.CUY
ULN2FV,PQUE SOLAR ULLUM 2,25,AR.CUY
VGAD,CT GRAL. VILLEGAS - AGGREKO,24,AR.BAS
VGES,CT VILLA GESELL-CATLANT.,80,AR.BAS
VIVOEO,P.EOLICO 3 PICOS MATER,50,AR.BAS
VLONEO,P.EOLICO VILLALONGA,52,AR.BAS
VMA2,CT VILLA MARIA,255,AR.CEN
VOBL,CT VUELTA DE OBLIGADO,847,AR.LIT
VSECEO,P.EOLICO VIENTOS DEL SECANO,50,AR.BAS
YACYHI,E.B. YACYRETA,1550,AR.NEA
ZAPA,CT ZAPPALORTO - APR ENERGY,108,AR.GBA
ZARA,CT LAS PALMAS 2 - ARAUCARIA,213,AR.BAS
ZONDFV,PQUE SOLAR ZONDA,100,AR.CUY
