technology,year,parameter,value,unit,source,further description,currency_year
decentral gas boiler,2030,FOM,2,%/year,Palzer thesis,,2020
decentral gas boiler,2030,efficiency,0.9,per unit,Palzer thesis,,2020
decentral gas boiler,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,investment,1400,EUR/kWth,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,lifetime,20,years,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,FOM,3.5,%/year,Palzer thesis,,2020
decentral ground-sourced heat pump,2030,efficiency,4,per unit,default for costs,,2020
decentral ground-sourced heat pump,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral resistive heater,2030,investment,100,EUR/kWhth,Schaber thesis,,2020
decentral resistive heater,2030,lifetime,20,years,Schaber thesis,,2020
decentral resistive heater,2030,FOM,2,%/year,Schaber thesis,,2020
decentral resistive heater,2030,efficiency,0.9,per unit,Schaber thesis,,2020
decentral resistive heater,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral solar thermal,2030,discount rate,0.04,per unit,Palzer thesis,,2020
decentral solar thermal,2030,FOM,1.3,%/year,HP,,2020
decentral solar thermal,2030,investment,270000,EUR/1000m2,HP,,2020
decentral solar thermal,2030,lifetime,20,years,HP,,2020
decentral water tank storage,2030,investment,860,EUR/m3,IWES Interaktion,,2020
decentral water tank storage,2030,FOM,1,%/year,HP,,2020
decentral water tank storage,2030,lifetime,20,years,HP,,2020
decentral water tank storage,2030,discount rate,0.04,per unit,Palzer thesis,,2020
electrolysis,2030,investment,1500,EUR/kW,private communications; IEA https://iea.blob.core.windows.net/assets/9e0c82d4-06d2-496b-9542-f184ba803645/TheRoleofE-fuelsinDecarbonisingTransport.pdf,,2020
electrolysis,2030,FOM,4,%/year,NREL http://www.nrel.gov/docs/fy09osti/45873.pdf,budischak2013,2020
electrolysis,2030,lifetime,25,years,"Danish Energy Agency, inputs/data_sheets_for_renewable_fuels.xlsx",86 AEC 100 MW:  Technical lifetime,2020
electrolysis,2030,efficiency,0.6217,per unit,"Danish Energy Agency, inputs/data_sheets_for_renewable_fuels.xlsx",86 AEC 100 MW:  Hydrogen Output,2020
fuel cell,2030,investment,460,EUR/kW,Qasem,,2020
fuel cell,2030,FOM,5,%/year,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Fixed O&M,2020
fuel cell,2030,lifetime,10,years,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx",12 LT-PEMFC CHP:  Technical lifetime,2020
fuel cell,2030,efficiency,0.5,per unit,"Danish Energy Agency, inputs/technology_data_for_el_and_dh.xlsx","12 LT-PEMFC CHP:  Electricity efficiency, annual average",2020
gas,2030,fuel,21.6,EUR/MWh,IEA2011b,,2020
gas,2030,CO2 intensity,0.187,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2020
geothermal,2030,lifetime,40,years,IEA2010,,2020
geothermal,2030,investment,3392,EUR/kWel,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
geothermal,2030,FOM,2.358491,%/year,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
geothermal,2030,efficiency,0.239,per unit,DIW DataDoc http://hdl.handle.net/10419/80348,,2020
geothermal,2030,CO2 intensity,0.026,tCO2/MWth,https://www.eia.gov/environment/emissions/co2_vol_mass.php,,2020
H2 pipeline,2030,investment,267,EUR/MW/km,Welder et al https://doi.org/10.1016/j.ijhydene.2018.12.156,,2020
H2 pipeline,2030,lifetime,40,years,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,2020
H2 pipeline,2030,FOM,5,%/year,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,2020
H2 pipeline,2030,efficiency,0.98,per unit,Krieg2012 http://juser.fz-juelich.de/record/136392/files/Energie%26Umwelt_144.pdf,,2020
helmeth,2030,investment,1000,EUR/kW,no source,,2020
helmeth,2030,lifetime,25,years,no source,,2020
helmeth,2030,FOM,3,%/year,no source,,2020
helmeth,2030,efficiency,0.8,per unit,HELMETH press release,,2020
HVAC overhead,2030,investment,850,EUR/MW/km,Hagspiel,,2020
