id,Name,Fueltype,Technology,Country,Capacity,lat,lon,Efficiency,Duration,DateIn,DateOut,Set
CORTEO,P.EOLICO Ing.CEBREIRO exCORTI,onwind,Onshore,AR,100,-38.6743,-62.0378,,,,,PP
COSM,MOTOGENERADORES COSTANERA,OCGT,OCGT,AR,36,-34.6236,-58.3418,0.4,,,,PP
COST,ENDESA COSTANERA SA,CCGT,CCGT,AR,1511,-34.6236,-58.3418,0.55,,,,PP
CPIEHI,CENTRAL CASA DE PIEDRA,hydro,Run-Of-River,AR,60,-38.2143,-67.1908,0.9,,,,PP
CRIV,C.T. PATAGONICAS SA,OCGT,OCGT,AR,25,-45.9073,-67.5917,0.4,,,,PP
CUMBFV,PQUE FOTOVOLTAICO LA CUMBRE,solar,Pv,AR,22,-33.3254,-66.1687,,,,,PP
DIA2EO,P.EOLICO DIADEMA 2,onwind,Onshore,AR,28,-45.851,-67.5976,,,,,PP
DSUD,CENTRAL DOCK SUD,OCGT,OCGT,AR,933,-34.6536,-58.3435,0.4,,,,PP
EBAR,CT BARRAGAN - ENARSA,CCGT,CCGT,AR,848,-34.864,-57.9576,0.55,,,,PP
ELBIEO,P.E. LA ELBITA,onwind,Onshore,AR,162,-37.6984,-59.0027,,,,,PP
ELEP,ELECTROPATAGONIA-C.RIV-C.COMB.,CCGT,CCGT,AR,63,-45.9073,-67.5917,0.55,,,,PP
EMBA,NUCLEOELECTRICA ARG. SA,nuclear,Steam Turbine,AR,648,-32.2316,-64.4422,0.4,,,,PP
ENE1EO,P.EOLICO LA ENERGETICA Renov2,onwind,Onshore,AR,80,-38.361,-62.2229,,,,,PP
ESCAHI,HIDROELECTRICA TUCUMAN SA,hydro,Run-Of-River,AR,24,-27.6589,-65.7633,0.9,,,,PP
EZEI,CT EZEIZA ETAPA2 G MEDITERRANE,CCGT,CCGT,AR,291,-34.903,-58.6169,0.55,,,,PP
FILO,C.T. FILO MORADO,OCGT,OCGT,AR,63,-37.2734,-69.6855,0.4,,,,PP
FRIA,GENERACION FRIAS S.A.,OCGT,OCGT,AR,60,-28.6076,-65.1218,0.4,,,,PP
FUTAHI,HIDROELECTRICA FUTALEUFU SA,hydro,Reservoir,AR,560,-43.129,-71.6299,0.9,,,,PP
GARAEO,P.EOLICO GARAYALDE,onwind,Onshore,AR,24,-44.5309,-66.4528,,,,,PP
GARR,CT BIOMASA GARRUCHOS,biomass,Steam Turbine,AR,36,-27.8389,-56.0124,0.4,,,,PP
GBEL,TERMOELECTRICA M.BELGRANO S.A.,CCGT,CCGT,AR,874,-34.1828,-59.0072,0.55,,,,PP
GEBA,GENELBA - PETROBRAS,CCGT,CCGT,AR,1249,-34.9041,-58.7327,0.55,,,,PP
GNV1EO,P.EOLICO LA GENOVEVA I REN2,onwind,Onshore,AR,88,-38.576,-61.9221,,,,,PP
GNV2EO,P.EOLICO LA GENOVEVA II MATER,onwind,Onshore,AR,42,-38.576,-61.9221,,,,,PP
GUEM,PAMPA ENERGIA SA,OCGT,OCGT,AR,361,-24.6888,-65.0448,0.4,,,,PP
GZ2AFV,PQUE FOTOV. COR. SOL. GUAÑI.II,solar,Pv,AR,100,-30.3569,-69.2921,,,,,PP
IGLEFV,PQUE FOTOV. CORDILLERA SOLAR,solar,Pv,AR,80,-30.3569,-69.2921,,,,,PP
